Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WESTVILLE,"2,400,000","1,823.42","1,316",Mar-25,WESTWOOD CRESCENT,Resale,Land,169.4,"14,168",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
TAI HWAN GARDEN,"4,880,000","2,814.79","1,734",Mar-25,TAI HWAN LANE,Resale,Land,261.5,"18,662",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,250,000","4,900.85","1,071",Mar-25,SOMMERVILLE ROAD,Resale,Land,455.3,"11,531",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
HILLVIEW VILLAS,"6,860,000","5,497.17","1,248",Mar-25,HILLVIEW CRESCENT,Resale,Land,510.7,"13,433",-,Semi-Detached House,1,Freehold,23,Outside Central Region,-
FRANKEL ESTATE,"10,300,000","4,249.63","2,424",Mar-25,DUNBAR WALK,Resale,Land,394.8,"26,089",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
BEDOK PARK,"5,300,000","4,040.81","1,312",Mar-25,LIMAU GARDEN,Resale,Land,375.4,"14,118",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,550,000","2,810.48","1,619",Mar-25,BORTHWICK DRIVE,Resale,Land,261.1,"17,426",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
REGENT VILLAS,"3,900,000","2,190.47","1,780",Mar-25,JALAN LIM TAI SEE,Resale,Land,203.5,"19,165",-,Semi-Detached House,1,99 yrs lease commencing from 1991,10,Core Central Region,-
SEMBAWANG SPRINGS ESTATE,"2,780,000","1,715.78","1,620",Mar-25,JALAN KEMUNING,Resale,Land,159.4,"17,440",-,Terrace House,1,Freehold,27,Outside Central Region,-
THE SPRINGSIDE,"3,939,000","1,663.04","2,369",Mar-25,SPRINGSIDE CRESCENT,Resale,Land,154.5,"25,495",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,825,000","2,429.43","1,163",Mar-25,KEW WALK,Resale,Land,225.7,"12,517",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
CAPITOL PARK,"8,600,000","3,718.96","2,312",Mar-25,UNIVERSITY ROAD,Resale,Land,345.5,"24,891",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,300,000","2,598.43","1,655",Mar-25,LIM TUA TOW ROAD,Resale,Land,241.4,"17,813",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,380,000","6,682.29","1,703",Mar-25,THIRD STREET,Resale,Land,620.8,"18,331",-,Detached House,1,Freehold,15,Outside Central Region,-
SENNETT ESTATE,"6,080,000","3,431.56","1,772",Mar-25,BUTTERFLY AVENUE,Resale,Land,318.8,"19,072",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","4,670.5","1,392",Mar-25,LORONG 19 GEYLANG,Resale,Land,433.9,"14,980",-,Detached House,1,Freehold,14,Rest of Central Region,-
PAVILION PARK,"4,080,000","1,615.68","2,525",Mar-25,PAVILION CIRCLE,Resale,Land,150.1,"27,182",-,Terrace House,1,Freehold,23,Outside Central Region,-
KELULUT HILL,"3,999,000","2,179.71","1,835",Mar-25,KELULUT HILL,Resale,Land,202.5,"19,748",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"18,100,000","5,149.5","3,515",Mar-25,BRANKSOME ROAD,Resale,Land,478.4,"37,834",-,Detached House,1,Freehold,15,Rest of Central Region,-
SENNETT ESTATE,"4,280,000","1,641.51","2,607",Mar-25,CHEMPAKA AVENUE,Resale,Land,152.5,"28,066",-,Terrace House,1,Freehold,13,Rest of Central Region,-
PARRYVILLE,"4,100,000","1,819.12","2,254",Mar-25,POH HUAT DRIVE,Resale,Land,169,"24,260",-,Terrace House,1,999 yrs lease commencing from 1883,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,100,000","2,157.11","1,901",Mar-25,BRIDPORT AVENUE,Resale,Land,200.4,"20,459",-,Terrace House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,650,000","1,747","2,089",Mar-25,JALAN KECHOT,Resale,Land,162.3,"22,489",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,600,000","4,496.12","1,468",Mar-25,LORONG G TELOK KURAU,Resale,Land,417.7,"15,801",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
SERANGOON GARDEN ESTATE,"8,188,888","6,016","1,361",Mar-25,CONWAY GROVE,Resale,Land,558.9,"14,652",-,Detached House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,280,000","2,012.87","2,126",Mar-25,EVERITT ROAD NORTH,Resale,Land,187,"22,888",-,Terrace House,1,Freehold,15,Rest of Central Region,-
WOODLANDS PARK,"3,850,000","4,019.28",958,Mar-25,JALAN BUMBONG,Resale,Land,373.4,"10,311",-,Semi-Detached House,1,Freehold,25,Outside Central Region,-
MAYFAIR PARK,"1,180,000","3,221.67",366,Mar-25,JALAN BINGKA,Resale,Land,299.3,"3,943",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
FLORIDA PARK,"5,328,000","3,229.2","1,650",Mar-25,SUNRISE DRIVE,Resale,Land,300,"17,760",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
SPRINGLEAF GARDEN,"5,200,000","3,599.48","1,445",Mar-25,SPRINGLEAF VIEW,Resale,Land,334.4,"15,550",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,650,000","2,624.26","2,153",Mar-25,DUNEARN ROAD,Resale,Land,243.8,"23,175",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
FRANKEL ESTATE,"4,720,000","1,784.67","2,645",Mar-25,CARLTON AVENUE,Resale,Land,165.8,"28,468",-,Terrace House,1,Freehold,15,Outside Central Region,-
BARTLEY RISE ESTATE,"7,818,888","5,479.95","1,427",Mar-25,JALAN LABU MANIS,Resale,Land,509.1,"15,358",-,Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,080,000","2,832.01","1,794",Mar-25,JALAN KESOMA,Resale,Land,263.1,"19,308",-,Terrace House,1,Freehold,19,Outside Central Region,-
DAISY PARK,"3,800,000","1,660.89","2,288",Mar-25,DAISY AVENUE,Resale,Land,154.3,"24,627",-,Terrace House,1,Freehold,13,Outside Central Region,-
SENNETT ESTATE,"4,528,000","1,969.81","2,299",Mar-25,PUAY HEE AVENUE,Resale,Land,183,"24,743",-,Terrace House,1,Freehold,13,Rest of Central Region,-
YUNNAN GARDENS,"3,300,000","2,549.99","1,294",Mar-25,YUNNAN DRIVE 1,Resale,Land,236.9,"13,930",-,Terrace House,1,Freehold,22,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,399,000","2,590.89","1,312",Mar-25,PENAGA PLACE,Resale,Land,240.7,"14,121",-,Terrace House,1,99 yrs lease commencing from 2008,27,Outside Central Region,-
SUMMERLEA GREEN,"2,780,000","1,679.18","1,656",Mar-25,KISMIS GREEN,Resale,Land,156,"17,821",-,Terrace House,1,99 yrs lease commencing from 1995,21,Rest of Central Region,-
LA SUISSE,"5,420,000","2,432.66","2,228",Mar-25,SWISS VIEW,Resale,Land,226,"23,982",-,Terrace House,1,999 yrs lease commencing from 1878,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"15,000,000","10,518.58","1,426",Mar-25,KHEAM HOCK ROAD,Resale,Land,977.2,"15,350",-,Detached House,1,Freehold,11,Core Central Region,-
EVERGREEN GARDEN,"7,950,000","6,034.3","1,317",Mar-25,EVERGREEN AVENUE,Resale,Land,560.6,"14,181",-,Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"16,500,000","6,783.47","2,432",Mar-25,WILKINSON ROAD,Resale,Land,630.2,"26,182",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,338,888","3,449.86","1,548",Mar-25,LENGKONG EMPAT,Resale,Land,320.5,"16,658",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
VILLA VERDE,"2,600,000","2,152.8","1,208",Mar-25,VERDE AVENUE,Resale,Land,200,"13,000",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
CHESTER PARK,"6,700,000","5,497.17","1,219",Mar-25,LORONG SARHAD,Resale,Land,510.7,"13,119",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"10,860,000","6,040.76","1,798",Mar-25,TANJONG KATONG ROAD,Resale,Land,561.2,"19,351",-,Terrace House,3,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,600,000","1,627.52","2,212",Mar-25,LORONG 14 GEYLANG,Resale,Land,151.2,"23,810",-,Terrace House,1,Freehold,14,Rest of Central Region,-
MCMAHON PARK,"12,000,000","3,997.75","3,002",Mar-25,JALAN JELITA,Resale,Land,371.4,"32,310",-,Semi-Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
TOH ESTATE,"3,680,000","2,216.31","1,660",Mar-25,TOH CRESCENT,Resale,Land,205.9,"17,873",-,Semi-Detached House,1,Freehold,17,Outside Central Region,-
LUXUS HILLS,"5,108,800","2,179.71","2,344",Mar-25,LUXUS HILL DRIVE,Resale,Land,202.5,"25,229",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,500,000","4,181.81","1,793",Mar-25,JALAN HAJI ALIAS,Resale,Land,388.5,"19,305",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"7,400,000","2,826.63","2,618",Mar-25,DYSON ROAD,Resale,Land,262.6,"28,180",-,Terrace House,1,Freehold,11,Core Central Region,-
CORONATION VILLE,"22,500,000","9,631.63","2,336",Mar-25,CORONATION ROAD,Resale,Land,894.8,"25,145",-,Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,628,000","2,120.51","1,711",Mar-25,JALAN TIGA RATUS,Resale,Land,197,"18,416",-,Terrace House,1,999 yrs lease commencing from 1885,16,Outside Central Region,-
PAVILION PARK,"3,928,000","1,614.6","2,433",Mar-25,PAVILION PLACE,Resale,Land,150,"26,187",-,Terrace House,1,Freehold,23,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"4,168,000","1,500.5","2,778",Mar-25,NEMESU AVENUE,Resale,Land,139.4,"29,900",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,300,000","2,406.83","1,371",Mar-25,KEW HEIGHTS,Resale,Land,223.6,"14,758",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,980,000","3,412.19","2,046",Mar-25,MARSHALL ROAD,Resale,Land,317,"22,019",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
BLAIR PLAIN CONSERVATION AREA,"6,633,333","1,491.89","4,446",Mar-25,BLAIR ROAD,Resale,Land,138.6,"47,860",-,Terrace House,1,Freehold,02,Rest of Central Region,-
STRATTON GREEN,"3,880,000","1,937.52","2,003",Feb-25,NIM GREEN,Resale,Land,180,"21,556",-,Terrace House,1,Freehold,28,Outside Central Region,-
FRANKEL ESTATE,"11,400,000","6,031.07","1,890",Feb-25,SIGLAP AVENUE,Resale,Land,560.3,"20,346",-,Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,980,000","3,004.23","1,658",Feb-25,LORONG 108 CHANGI,Resale,Land,279.1,"17,843",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,730,000","1,683.49","2,216",Feb-25,BOUNDARY ROAD,Resale,Land,156.4,"23,849",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,750,000","1,628.59","3,531",Feb-25,JALAN JINTAN,Resale,Land,151.3,"38,004",-,Terrace House,1,Freehold,09,Core Central Region,-
MIMOSA TERRACE,"4,100,000","2,165.72","1,893",Feb-25,SARACA ROAD,Resale,Land,201.2,"20,378",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,850,000","2,318.57","2,523",Feb-25,BRIGHT HILL CRESCENT,Resale,Land,215.4,"27,159",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","3,812.61","1,443",Feb-25,JALAN TELITI,Resale,Land,354.2,"15,528",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
KIMNAN PARK,"4,000,000","1,847.1","2,166",Feb-25,TAMAN SELAMAT,Resale,Land,171.6,"23,310",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,428,000","5,373.39","2,499",Feb-25,DUCHESS AVENUE,Resale,Land,499.2,"26,899",-,Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
BEDOK RIA,"3,850,000","1,763.14","2,184",Feb-25,BEDOK RIA WALK,Resale,Land,163.8,"23,504",-,Terrace House,1,Freehold,16,Outside Central Region,-
BRADDELL HEIGHTS ESTATE,"9,168,888","6,345.38","1,445",Feb-25,CLIFTON VALE,Resale,Land,589.5,"15,554",-,Detached House,1,Freehold,13,Outside Central Region,-
MOUNT SINAI,"10,413,300","3,385.28","3,076",Feb-25,MOUNT SINAI WALK,Resale,Land,314.5,"33,111",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,000,000","2,596.28","1,541",Feb-25,SEA BREEZE WALK,Resale,Land,241.2,"16,584",-,Terrace House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,330,000","2,896.59","1,840",Feb-25,JALAN ANGIN LAUT,Resale,Land,269.1,"19,807",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
SPRINGLEAF GARDEN,"5,300,000","3,599.48","1,472",Feb-25,SPRINGLEAF GARDEN,Resale,Land,334.4,"15,849",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,050,000","2,003.18","1,523",Feb-25,EASTWOOD ROAD,Resale,Land,186.1,"16,389",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
YEW LIAN PARK,"5,288,000","2,966.56","1,783",Feb-25,TAMAN PERMATA,Resale,Land,275.6,"19,187",-,Terrace House,1,Freehold,20,Rest of Central Region,-
REGENT VILLAS,"4,220,500","3,670.52","1,150",Feb-25,SIXTH AVENUE,Resale,Land,341,"12,377",-,Semi-Detached House,1,99 yrs lease commencing from 1991,10,Core Central Region,-
BURGUNDY HILL,"3,098,000","2,206.62","1,404",Feb-25,BURGUNDY CRESCENT,Resale,Land,205,"15,112",-,Semi-Detached House,1,99 yrs lease commencing from 1995,23,Outside Central Region,-
TOH ESTATE,"7,260,000","7,419.63",978,Feb-25,TOH DRIVE,Resale,Land,689.3,"10,532",-,Detached House,1,Freehold,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,910,000","2,512.32","1,954",Feb-25,TEMBELING ROAD,Resale,Land,233.4,"21,037",-,Terrace House,1,Freehold,15,Rest of Central Region,-
BEDOKVILLE,"7,000,000","6,237.74","1,122",Feb-25,JALAN LIMAU BALI,Resale,Land,579.5,"12,079",-,Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,800,000","6,088.12","2,267",Feb-25,CHANCERY HILL ROAD,Resale,Land,565.6,"24,399",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,520,000","2,474.64","2,231",Feb-25,JALAN ANGIN LAUT,Resale,Land,229.9,"24,010",-,Terrace House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,845,000","3,363.75","1,143",Feb-25,SEMBAWANG ROAD,Resale,Land,312.5,"12,304",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
THOMSON GARDEN ESTATE,"2,680,000",884.8,"3,029",Feb-25,JALAN KUAK,Resale,Land,82.2,"32,603",-,Terrace House,1,Freehold,20,Rest of Central Region,-
HOLLAND GROVE PARK,"24,725,000","9,850.14","2,510",Feb-25,HOLLAND GROVE WALK,Resale,Land,915.1,"27,019",-,Detached House,1,Freehold,10,Core Central Region,-
SERENE PARK,"5,000,000","3,681.29","1,358",Feb-25,TAMARIND ROAD,Resale,Land,342,"14,620",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
SELETAR HILLS ESTATE,"5,550,000","3,475.7","1,597",Feb-25,JALAN JARAK,Resale,Land,322.9,"17,188",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LUXUS HILLS,"4,350,000","1,614.6","2,694",Feb-25,SELETAR GREEN WALK,Resale,Land,150,"29,000",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
ARDISIA GARDENS,"3,180,000","1,614.6","1,970",Feb-25,SERANGOON TERRACE,Resale,Land,150,"21,200",-,Terrace House,1,99 yrs lease commencing from 1993,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,700,000","2,999.93","2,567",Feb-25,JALAN SENYUM,Resale,Land,278.7,"27,628",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,800,000","2,624.26","2,210",Feb-25,DUNEARN ROAD,Resale,Land,243.8,"23,790",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,300,000","1,518.8","3,490",Feb-25,FOWLIE ROAD,Resale,Land,141.1,"37,562",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"3,960,000","2,161.41","1,832",Feb-25,HUDDINGTON AVENUE,Resale,Land,200.8,"19,721",-,Terrace House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,300,000","3,978.37","1,332",Feb-25,WORTHING ROAD,Resale,Land,369.6,"14,340",-,Terrace House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"6,800,000","4,799.67","1,417",Feb-25,RIPLEY CRESCENT,Resale,Land,445.9,"15,250",-,Semi-Detached House,1,999 yrs lease commencing from 1953,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,400,000","6,867.43",641,Feb-25,OAKWOOD GROVE,Resale,Land,638,"6,897",-,Detached House,1,99 yrs lease commencing from 1995,25,Outside Central Region,-
SERANGOON GARDEN ESTATE,"7,888,888","4,493.97","1,755",Feb-25,CRICHTON CLOSE,Resale,Land,417.5,"18,896",-,Detached House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,808,888","4,730.78","1,862",Feb-25,LYNWOOD GROVE,Resale,Land,439.5,"20,043",-,Detached House,1,Freehold,13,Outside Central Region,-
SELETAR HILLS ESTATE,"7,280,000","4,454.14","1,634",Feb-25,JALAN KELULUT,Resale,Land,413.8,"17,593",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
OPERA ESTATE,"3,100,000","1,674.88","1,851",Feb-25,DAFNE STREET,Resale,Land,155.6,"19,923",-,Terrace House,1,Freehold,15,Outside Central Region,-
PAVILION PARK,"4,100,000","1,700.71","2,411",Feb-25,PAVILION CIRCLE,Resale,Land,158,"25,949",-,Terrace House,1,Freehold,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,200,000","3,799.69","2,158",Feb-25,KING'S ROAD,Resale,Land,353,"23,229",-,Terrace House,1,Freehold,10,Core Central Region,-
LUXUS HILLS,"4,400,000","1,614.6","2,725",Feb-25,SELETAR GREEN VIEW,Resale,Land,150,"29,333",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,280,000","1,973.04","2,169",Feb-25,ONAN ROAD,Resale,Land,183.3,"23,350",-,Terrace House,1,Freehold,15,Rest of Central Region,-
KEMBANGAN ESTATE,"7,900,000","3,906.26","2,022",Feb-25,JALAN AWANG,Resale,Land,362.9,"21,769",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,450,000","1,989.19","2,237",Feb-25,LORONG MARZUKI,Resale,Land,184.8,"24,080",-,Terrace House,1,Freehold,14,Outside Central Region,-
SPRING WATERS VILLAS,"6,480,000","3,521.98","1,840",Feb-25,JALAN MATA AYER,Resale,Land,327.2,"19,804",-,Semi-Detached House,1,953 yrs lease commencing from 1931,27,Outside Central Region,-
TANAH MERAH GREEN,"2,800,000","1,682.41","1,664",Feb-25,TANAH MERAH KECHIL AVENUE,Resale,Land,156.3,"17,914",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,680,000","2,368.08","1,976",Feb-25,SERANGOON GARDEN WAY,Resale,Land,220,"21,273",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
THOMSON PARK,"7,000,000","4,352.96","1,608",Feb-25,JALAN KELI,Resale,Land,404.4,"17,310",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
ENG KONG PARK,"5,818,000","3,293.78","1,766",Feb-25,ENG KONG GARDEN,Resale,Land,306,"19,013",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
NIM COLLECTION,"3,800,000","1,971.96","1,927",Feb-25,NIM RISE,Resale,Land,183.2,"20,742",-,Terrace House,1,99 yrs lease commencing from 2016,28,Outside Central Region,-
THE SPRINGSIDE,"4,280,000","1,872.94","2,285",Feb-25,SPRINGSIDE AVENUE,Resale,Land,174,"24,598",-,Terrace House,1,Freehold,26,Outside Central Region,-
PEAKVIEW ESTATE,"4,500,000","3,435.87","1,310",Feb-25,PEAKVILLE AVENUE,Resale,Land,319.2,"14,098",-,Terrace House,1,Freehold,16,Outside Central Region,-
BEDOK RIA,"5,200,000","3,402.5","1,528",Feb-25,BEDOK RIA CRESCENT,Resale,Land,316.1,"16,450",-,Terrace House,1,Freehold,16,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"3,880,000","1,298.14","2,989",Feb-25,JALAN MESRA,Resale,Land,120.6,"32,172",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,300,000","2,411.14","1,369",Feb-25,CHUAN PLACE,Resale,Land,224,"14,732",-,Semi-Detached House,1,99 yrs lease commencing from 1997,19,Outside Central Region,-
MING PARK,"7,720,888","3,708.2","2,082",Feb-25,JALAN BINCHANG,Resale,Land,344.5,"22,412",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
THE SPRINGSIDE,"3,888,888","1,743.77","2,230",Feb-25,SPRINGSIDE VIEW,Resale,Land,162,"24,005",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE SPRINGSIDE,"3,428,000","1,847.1","1,856",Feb-25,SPRINGSIDE GREEN,Resale,Land,171.6,"19,977",-,Terrace House,1,Freehold,26,Outside Central Region,-
GPL TERRACE,"5,200,000","2,614.58","1,989",Feb-25,PUAY HEE AVENUE,Resale,Land,242.9,"21,408",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LENTOR VIEW,"5,550,000","3,433.72","1,616",Feb-25,LENTOR WAY,Resale,Land,319,"17,398",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","2,782.49","1,617",Feb-25,MENG SUAN ROAD,Resale,Land,258.5,"17,408",-,Terrace House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"20,000,000","9,349.61","2,139",Feb-25,TAN SIM BOH ROAD,Resale,Land,868.6,"23,026",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,250,000","1,512.34","2,810",Feb-25,SIANG KUANG AVENUE,Resale,Land,140.5,"30,249",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,550,000","2,394.99","1,900",Feb-25,JALAN MELOR,Resale,Land,222.5,"20,449",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,600,000","1,671.65","2,154",Feb-25,LORONG 14 GEYLANG,Resale,Land,155.3,"23,181",-,Terrace House,1,Freehold,14,Rest of Central Region,-
PEOPLE'S GARDEN,"3,695,000","1,839.57","2,009",Feb-25,LORONG 6 REALTY PARK,Resale,Land,170.9,"21,621",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
LOYANG VILLAS,"2,500,000","1,614.6","1,548",Feb-25,LOYANG VIEW,Resale,Land,150,"16,667",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
CLEMENTI PARK,"13,800,000","7,737.16","1,784",Feb-25,SUNSET HEIGHTS,Resale,Land,718.8,"19,199",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,780,000","2,281.97","2,533",Feb-25,JALAN GIRANG,Resale,Land,212,"27,264",-,Terrace House,1,Freehold,13,Outside Central Region,-
THOMSON RIDGE,"6,300,000","3,290.55","1,915",Feb-25,THOMSON RIDGE,Resale,Land,305.7,"20,608",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
VICTORIA PARK VILLAS,"5,800,000","2,368.08","2,449",Feb-25,VICTORIA PARK GROVE,Resale,Land,220,"26,364",-,Semi-Detached House,1,99 yrs lease commencing from 2013,10,Core Central Region,-
MAYFLOWER GARDENS,"4,360,000","2,031.17","2,147",Feb-25,MAYFLOWER TERRACE,Resale,Land,188.7,"23,105",-,Terrace House,1,Freehold,20,Outside Central Region,-
SERANGOON GARDEN ESTATE,"6,680,000","4,201.19","1,590",Feb-25,FARLEIGH AVENUE,Resale,Land,390.3,"17,115",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SERANGOON PARK,"5,600,000","1,652.27","3,389",Feb-25,JALAN RIANG,Resale,Land,153.5,"36,482",-,Terrace House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,480,000","2,847.08","1,925",Feb-25,EDEN GROVE,Resale,Land,264.5,"20,718",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
EMERALD HILL CONSERVATION AREA,"6,880,000","1,342.27","5,126",Feb-25,EMERALD HILL ROAD,Resale,Land,124.7,"55,172",-,Terrace House,1,Freehold,09,Core Central Region,-
YEW LIAN PARK,"7,300,000","4,126.92","1,769",Feb-25,TAMAN PERMATA,Resale,Land,383.4,"19,040",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
SARACA GARDENS,"4,038,000","2,145.27","1,882",Feb-25,SARACA VIEW,Resale,Land,199.3,"20,261",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,080,000","3,579.03","1,419",Feb-25,LORONG TANGGAM,Resale,Land,332.5,"15,278",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
